city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Urbana,2002,1,corn,3,12,mix,1,10-15cm,5.29,21,33.5,1.27,25.3,0.11,25.2,1380
Urbana,2002,1,corn,4,13,fallow,0,10-15cm,5.13,30.5,32.1,1.31,16.9,0.09,23.7,1275
Urbana,2002,1,corn,4,14,rye,1,10-15cm,6.13,28.5,28,1.31,31.9,0.14,34.5,1519
Urbana,2002,1,corn,4,15,vetch,1,10-15cm,5.9,36.5,30.3,1.56,32.3,0.12,0.93,1546
Urbana,2002,1,corn,4,16,mix,1,10-15cm,5.6,21,37.8,1.44,22.7,0.11,2.83,1315
Urbana,2002,2,soybean,1,17,vetch,1,10-15cm,5.29,25,29.7,1.6,28.2,0.12,3.25,1478
Urbana,2002,2,soybean,1,18,fallow,0,10-15cm,6.1,29.5,26.2,1.54,26.5,0.11,0.79,1420
Urbana,2002,2,soybean,1,19,rye,1,10-15cm,6.3,31,30.8,1.43,18.4,0.13,56.5,1266
Urbana,2002,2,soybean,1,20,mix,1,10-15cm,5.53,25.5,30.1,1.43,21.3,0.13,52,1489
Urbana,2002,2,soybean,2,21,vetch,1,10-15cm,5.51,16.5,31.1,1.68,23.2,1.46,59.8,1390
Urbana,2002,2,soybean,2,22,mix,1,10-15cm,5.93,29.5,29.3,1.41,29.3,1.61,53.5,1504
Urbana,2002,2,soybean,2,23,rye,1,10-15cm,5.97,16.5,26.1,1.45,24,1.53,49,1230
Urbana,2002,2,soybean,2,24,fallow,0,10-15cm,5.58,23,28,1.48,23.5,1.29,12.3,1256
Urbana,2002,2,soybean,3,25,vetch,1,10-15cm,5.47,24,28.2,1.49,25.9,0.12,12,1470
Urbana,2002,2,soybean,3,26,mix,1,10-15cm,5.94,14.5,21.7,1.62,27.6,1.22,16.1,1414
Urbana,2002,2,soybean,3,27,rye,1,10-15cm,5.88,10.5,31.1,1.49,29.7,1.09,15,1369
Urbana,2002,2,soybean,3,28,fallow,0,10-15cm,5.7,24,27.8,1.5,36.6,0.93,1.7,1379
Urbana,2002,2,soybean,4,29,mix,1,10-15cm,5.52,18.5,27.2,1.58,27.9,0.09,0.3,1396
Urbana,2002,2,soybean,4,30,rye,1,10-15cm,6.04,7.5,19.6,1.56,33.8,0.12,0.46,1401
Urbana,2002,2,soybean,4,31,fallow,0,10-15cm,6.49,17.5,21.8,1.56,47.5,0.11,0.58,1487
Urbana,2002,2,soybean,4,32,vetch,1,10-15cm,6.15,18.5,24,1.6,41.2,0.11,1,1594
Urbana,2003,1,soybean,1,1,mix,1,10-15cm,5.5,47,43.7,1.36,32.3,0.17,1.6,2889
Urbana,2003,1,soybean,1,2,fallow,0,10-15cm,5.48,39,43.1,1.42,23.6,0.16,3.9,2184
Urbana,2003,1,soybean,1,3,vetch,1,10-15cm,6.19,28,35.6,1.43,31.2,0.15,3.8,2330
Urbana,2003,1,soybean,1,4,rye,1,10-15cm,5.92,25,34.9,1.51,34.1,0.13,1,2114
Urbana,2003,1,soybean,2,5,rye,1,10-15cm,5.99,27,37.7,1.43,25.2,0.14,0.3,2526
Urbana,2003,1,soybean,2,6,mix,1,10-15cm,6.32,27,37.1,1.52,46,0.14,0.4,2664
Urbana,2003,1,soybean,2,7,fallow,0,10-15cm,5.52,40,39.3,1.4,25.6,0.16,4.4,2048
Urbana,2003,1,soybean,2,8,vetch,1,10-15cm,5.58,39,40.7,1.46,39.8,0.17,3.5,2860
Urbana,2003,1,soybean,3,9,rye,1,10-15cm,4.96,40,38.6,1.38,39.6,0.15,0.2,2143
Urbana,2003,1,soybean,3,10,vetch,1,10-15cm,5.6,48,37.7,1.47,37.2,0.14,6.1,3369
Urbana,2003,1,soybean,3,11,fallow,0,10-15cm,5.82,52,37,1.4,38.2,0.16,1.6,2199
Urbana,2003,1,soybean,3,12,mix,1,10-15cm,5.55,36,36.6,1.35,35.5,0.15,0.5,2842
Urbana,2003,1,soybean,4,13,fallow,0,10-15cm,5.36,45,42.1,1.49,26.6,0.15,7.5,1911
Urbana,2003,1,soybean,4,14,rye,1,10-15cm,6.54,37,35.4,1.56,31.4,0.15,0.5,2649
Urbana,2003,1,soybean,4,15,vetch,1,10-15cm,5.33,46,37.7,1.55,31.8,0.14,0.2,3168
Urbana,2003,1,soybean,4,16,mix,1,10-15cm,5.68,34,41.9,1.43,37.1,0.16,0.1,3353
Urbana,2003,2,corn,1,17,vetch,1,10-15cm,5.64,41,34.7,1.46,41,0.13,0.2,2764
Urbana,2003,2,corn,1,18,fallow,0,10-15cm,6.11,40,30.6,1.43,22,0.14,3.3,2085
Urbana,2003,2,corn,1,19,rye,1,10-15cm,6.3,40,38.6,1.46,25.8,0.14,0.6,2236
Urbana,2003,2,corn,1,20,mix,1,10-15cm,5.61,35,40.8,1.33,42.4,0.15,0.5,2271
Urbana,2003,2,corn,2,21,vetch,1,10-15cm,5.92,31,36.3,1.51,41.4,0.15,1.1,2265
Urbana,2003,2,corn,2,22,mix,1,10-15cm,5.82,28,42.3,1.47,44.4,0.1,1.1,2376
Urbana,2003,2,corn,2,23,rye,1,10-15cm,5.08,30,31.6,1.37,42.3,0.13,0.9,2240
Urbana,2003,2,corn,2,24,fallow,0,10-15cm,5.92,32,32.5,1.39,28.4,0.14,2.4,1891
Urbana,2003,2,corn,3,25,vetch,1,10-15cm,5.36,30,36.2,1.33,42.1,0.14,0.2,2119
Urbana,2003,2,corn,3,26,mix,1,10-15cm,6.45,22,30.5,1.56,47.1,0.11,1.5,2064
Urbana,2003,2,corn,3,27,rye,1,10-15cm,6.02,24,39.3,1.45,40.9,0.12,1,2097
Urbana,2003,2,corn,3,28,fallow,0,10-15cm,5,37,33.7,1.53,26.2,0.14,3.5,2146
Urbana,2003,2,corn,4,29,mix,1,10-15cm,5.23,27,35.3,1.45,33.6,0.12,1.5,2453
Urbana,2003,2,corn,4,30,rye,1,10-15cm,5.87,21,26.2,1.6,29.3,0.1,2.4,2283
Urbana,2003,2,corn,4,31,fallow,0,10-15cm,6.09,22,26,1.57,19.4,0.11,2.2,1970
Urbana,2003,2,corn,4,32,vetch,1,10-15cm,5.95,25,36.6,1.41,41.4,0.13,0.9,2465
