city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Urbana,2003,1,soybean,4,16,mix,1,0-5cm,5.66,60,56.7,1.17,64.7,0.24,6.3,1352
Urbana,2003,2,corn,1,17,vetch,1,0-5cm,6.01,52,41.5,1.24,65.7,0.21,2,1133
Urbana,2003,2,corn,1,18,fallow,0,0-5cm,5.71,64,46.4,1.25,48.3,0.17,0.8,1083
Urbana,2003,2,corn,1,19,rye,1,0-5cm,6.55,62,47.5,1.16,38,0.23,3,547
Urbana,2003,2,corn,1,20,mix,1,0-5cm,6.04,62,55,1.16,53.3,0.22,7.2,1167
Urbana,2003,2,corn,2,21,vetch,1,0-5cm,5.54,40,54.7,1.27,54.4,0.21,10.7,1163
Urbana,2003,2,corn,2,22,mix,1,0-5cm,6.24,51,53.5,1.16,53.2,0.19,2.4,1452
Urbana,2003,2,corn,2,23,rye,1,0-5cm,5.45,46,43.2,1.39,43.6,0.16,5.6,983
Urbana,2003,2,corn,2,24,fallow,0,0-5cm,6.23,46,42.5,1.3,47.7,0.17,4.4,1273
Urbana,2003,2,corn,3,25,vetch,1,0-5cm,5.92,42,49.8,1.16,45.8,0.2,2.3,693
Urbana,2003,2,corn,3,26,mix,1,0-5cm,6.17,33,47.7,1.35,55,0.16,3.1,1348
Urbana,2003,2,corn,3,27,rye,1,0-5cm,5.93,36,42.5,1.27,51.5,0.17,3.2,1245
Urbana,2003,2,corn,3,28,fallow,0,0-5cm,6.12,42,45.2,1.4,52.9,0.18,4.3,1483
Urbana,2003,2,corn,4,29,mix,1,0-5cm,6.02,37,40,1.36,56.3,0.16,4.9,1554
Urbana,2003,2,corn,4,30,rye,1,0-5cm,6.14,29,35.1,1.52,52.7,0.14,4.9,1506
Urbana,2003,2,corn,4,31,fallow,0,0-5cm,5.75,32,38.4,1.33,40.8,0.13,2.7,1483
Urbana,2003,2,corn,4,32,vetch,1,0-5cm,6.42,43,43.2,1,33.6,0.18,2.9,1203
Brownstown,2002,1,soybean,1,1,mix,1,0-5cm,5.04,54,41.9,1.15,35.6,0.21,48.1,700
Brownstown,2002,1,soybean,1,2,fallow,0,0-5cm,5.45,50,27.9,1.45,30.1,0.13,1,630
Brownstown,2002,1,soybean,1,3,vetch,1,0-5cm,5.12,59,29.3,1.17,37.2,0.17,11.8,573
Brownstown,2002,1,soybean,1,4,rye,1,0-5cm,5.32,53,35.6,1.22,43.1,0.16,1.3,701
Brownstown,2002,1,soybean,2,5,rye,1,0-5cm,5.15,60,36.6,1.27,45,0.13,0.2,615
Brownstown,2002,1,soybean,2,6,mix,1,0-5cm,5.25,56,34.8,1.16,40.4,0.12,0.2,621
Brownstown,2002,1,soybean,2,7,fallow,0,0-5cm,5.72,41,34.6,1.24,29.8,0.13,2.4,668
